stride,hits_per_kb,bytes,engine,ms_min,ms_median,ms_mean,iters,reps
500,1.9626,1000025,ruby,164.744,166.301,166.625,10,5
500,1.9626,1000025,c_today,69.66,70.745,70.635,10,5
500,1.9626,1000025,glibc_baseline,1360.298,1479.214,1463.671,10,5
500,1.9626,1000025,onigmo,186.318,190.28,189.266,10,5
500,1.9626,1000025,pcre2jit,51.447,52.593,53.293,10,5
500,1.9626,1000025,v7_pipeline,77.002,78.103,78.441,10,5
500,1.9626,1000025,v15,421.167,435.442,433.755,10,5
500,1.9626,1000025,v18,212.617,214.113,214.682,10,5
500,1.9626,1000025,v18_1,100.72,103.041,103.605,10,5
500,1.9626,1000025,v19,77.602,78.216,78.404,10,5
684,1.4509,1000643,ruby,165.459,167.161,167.237,10,5
684,1.4509,1000643,c_today,73.204,76.661,76.548,10,5
684,1.4509,1000643,glibc_baseline,1382.029,1412.44,1435.304,10,5
684,1.4509,1000643,onigmo,185.508,196.369,193.037,10,5
684,1.4509,1000643,pcre2jit,47.042,48.257,48.834,10,5
684,1.4509,1000643,v7_pipeline,67.138,72.336,71.989,10,5
684,1.4509,1000643,v15,407.51,412.608,418.667,10,5
684,1.4509,1000643,v18,207.675,210.171,217.093,10,5
684,1.4509,1000643,v18_1,104.586,108.779,108.14,10,5
684,1.4509,1000643,v19,82.9,86.235,85.388,10,5
1069,0.9388,1000193,ruby,180.095,180.705,184.297,10,5
1069,0.9388,1000193,c_today,73.208,73.643,74.926,10,5
1069,0.9388,1000193,glibc_baseline,1480.897,1511.774,1520.875,10,5
1069,0.9388,1000193,onigmo,179.989,189.496,187.461,10,5
1069,0.9388,1000193,pcre2jit,49.248,50.114,50.653,10,5
1069,0.9388,1000193,v7_pipeline,67.636,69.253,69.425,10,5
1069,0.9388,1000193,v15,430.243,437.824,437.672,10,5
1069,0.9388,1000193,v18,214.118,221.526,221.074,10,5
1069,0.9388,1000193,v18_1,108.856,110.944,111.704,10,5
1069,0.9388,1000193,v19,78.249,80.194,80.706,10,5
1672,0.6046,1000879,ruby,179.865,183.453,183.968,10,5
1672,0.6046,1000879,c_today,76.238,76.617,77.472,10,5
1672,0.6046,1000879,glibc_baseline,1466.747,1506.283,1511.396,10,5
1672,0.6046,1000879,onigmo,176.327,180.804,180.021,10,5
1672,0.6046,1000879,pcre2jit,46.413,48.826,48.54,10,5
1672,0.6046,1000879,v7_pipeline,59.342,63.167,62.944,10,5
1672,0.6046,1000879,v15,428.299,432.04,434.044,10,5
1672,0.6046,1000879,v18,200.163,213.998,209.866,10,5
1672,0.6046,1000879,v18_1,109.774,118.258,116.707,10,5
1672,0.6046,1000879,v19,83.923,84.546,85.471,10,5
2615,0.3884,1001794,ruby,172.428,176.963,176.456,10,5
2615,0.3884,1001794,c_today,73.488,78.909,77.508,10,5
2615,0.3884,1001794,glibc_baseline,1456.686,1499.712,1519.357,10,5
2615,0.3884,1001794,onigmo,173.397,177.779,180.029,10,5
2615,0.3884,1001794,pcre2jit,50.694,54.408,54.29,10,5
2615,0.3884,1001794,v7_pipeline,61.819,63.465,63.227,10,5
2615,0.3884,1001794,v15,399.338,409.708,410.801,10,5
2615,0.3884,1001794,v18,190.545,192.928,192.642,10,5
2615,0.3884,1001794,v18_1,98.719,100.441,102.432,10,5
2615,0.3884,1001794,v19,79.935,82.019,82.581,10,5
4089,0.2491,1002873,ruby,179.028,188.825,187.257,10,5
4089,0.2491,1002873,c_today,75.615,76.355,77.251,10,5
4089,0.2491,1002873,glibc_baseline,1583.753,1640.915,1641.081,10,5
4089,0.2491,1002873,onigmo,192.542,196.898,197.39,10,5
4089,0.2491,1002873,pcre2jit,52.989,56.007,55.212,10,5
4089,0.2491,1002873,v7_pipeline,59.916,62.418,62.197,10,5
4089,0.2491,1002873,v15,401.648,403.879,406.83,10,5
4089,0.2491,1002873,v18,193.74,197.298,198.255,10,5
4089,0.2491,1002873,v18_1,103.215,105.003,104.932,10,5
4089,0.2491,1002873,v19,78.515,80.039,79.813,10,5
5000,0.2039,1004296,ruby,176.9,180.048,180.119,10,5
5000,0.2039,1004296,c_today,72.379,76.188,75.885,10,5
5000,0.2039,1004296,glibc_baseline,1516.191,1535.928,1537.174,10,5
5000,0.2039,1004296,onigmo,173.949,177.675,178.347,10,5
5000,0.2039,1004296,pcre2jit,48.377,48.601,48.756,10,5
5000,0.2039,1004296,v7_pipeline,56.12,57.072,56.97,10,5
5000,0.2039,1004296,v15,399.046,403.415,404.399,10,5
5000,0.2039,1004296,v18,193.298,197.713,197.097,10,5
5000,0.2039,1004296,v18_1,102.371,104.266,103.819,10,5
5000,0.2039,1004296,v19,78.342,78.554,79.12,10,5
6395,0.1596,1000974,ruby,179.448,180.248,181.463,10,5
6395,0.1596,1000974,c_today,74.812,76.404,76.835,10,5
6395,0.1596,1000974,glibc_baseline,1464.018,1467.443,1475.935,10,5
6395,0.1596,1000974,onigmo,171.519,182.947,179.673,10,5
6395,0.1596,1000974,pcre2jit,46.686,46.809,47.294,10,5
6395,0.1596,1000974,v7_pipeline,54.57,55.748,55.986,10,5
6395,0.1596,1000974,v15,398.231,408.702,413.024,10,5
6395,0.1596,1000974,v18,194.413,197.865,198.749,10,5
6395,0.1596,1000974,v18_1,99.949,103.569,103.659,10,5
6395,0.1596,1000974,v19,79.012,82.488,81.709,10,5
10000,0.1022,1002095,ruby,184.319,186.186,186.225,10,5
10000,0.1022,1002095,c_today,72.74,74.297,73.989,10,5
10000,0.1022,1002095,glibc_baseline,1466.172,1477.298,1491.38,10,5
10000,0.1022,1002095,onigmo,174.608,175.596,179.811,10,5
10000,0.1022,1002095,pcre2jit,47.501,48.495,48.854,10,5
10000,0.1022,1002095,v7_pipeline,54.646,55.567,55.342,10,5
10000,0.1022,1002095,v15,391.575,405.75,404.874,10,5
10000,0.1022,1002095,v18,197.507,207.324,206.294,10,5
10000,0.1022,1002095,v18_1,104.624,106.108,106.414,10,5
10000,0.1022,1002095,v19,79.315,79.649,80.779,10,5
